paper_id,title,year,industry_category,outcome_keyword,outcome_enhanced,pos_matches,neg_matches,neu_matches
10342978,Treatment of tobacco dependence: innovative regulatory approaches to reduce death and disease: preface.,1998,Independent,Not coded,Not applicable,,,
10093160,"Cigarette testing methods, product design, and labelling: time to clean up the ""negative baggage"".",1998,Independent,Not coded,Not applicable,,,
9829704,Glass fiber contamination of cigarette filters: an additional health risk to the smoker?,1998,Independent,Not coded,Mixed,less hazardous,health hazard; hazardous; contamination,
9825427,"FDA and EPA setbacks, fetal nicotine, ASH Thailand and UK, tennis shame, Australian documents, Corporate Activity Project, and 2100 quotes.",1998,Independent,Not coded,Not applicable,,,
9825424,"Reducing the addictiveness of cigarettes. Council on Scientific Affairs, American Medical Association.",1998,Independent,Mixed,Mixed,cessation; quit ,addiction; adolescent tobacco,
9825406,Taking aim at the bull's-eye: the nicotine in tobacco products.,1998,Independent,Not coded,Not applicable,,,
9809850,A further study of FTC yield and nicotine absorption in smokers.,1998,Independent,Not coded,Not applicable,,,
9789939,"Minnesota settlement, documents in mind-boggling numbers, smoke-free Birmingham, fire-safe cigarettes, Surgeon General's report, nicotine yields, cigars, Tasmania, and a Marlboro Gear spoof.",1998,Independent,Not coded,Not applicable,,,
9777818,Prying open the door to the tobacco industry's secrets about nicotine: the Minnesota Tobacco Trial.,1998,Independent,Negative,Negative,,addiction; addictive; industry strategies; nicotine addiction,
9735500,[The requisite internationalization of the campaign against smoking].,1998,Independent,Not coded,Not applicable,,,
9687969,Chemical and biological studies of a new cigarette that primarily heats tobacco. Part 1. Chemical composition of mainstream smoke.,1998,Independent,Not coded,Not applicable,,,
9609390,Chemical and biological studies of a new cigarette that primarily heats tobacco. Part 1. Chemical composition of mainstream smoke.,1998,Independent,Not coded,Not applicable,,,
20654406,Comparative cytotoxicity studies of smoke condensates from different types of cigarettes and tobaccos.,1998,Independent,Not coded,Not applicable,,,
9522823,The politics of addiction: status of the tobacco settlement.,1998,Independent,Negative,Mixed,effective ,cancer; death,
9515952,"Addiction, the tobacco industry and Nature.",1998,Independent,Not coded,Not applicable,,,
9492589,[Tobacco abuse: background and countermeasures].,1998,Independent,Positive,Not applicable,,,
9454323,Biotech firm in high-nicotine intrigue.,1998,Independent,Not coded,Not applicable,,,
15992128,The therapeutic potential of nicotine and nicotinic agonists for weight control.,1999,Independent,Not coded,Positive,effective ,,
11768184,Tobacco use as drug addiction: the scientific foundation.,1999,Independent,Negative,Mixed,improve; effective ,addiction; dependence; nicotine addiction,
11768183,Introductory notes on the tobacco problem.,1999,Independent,Not coded,Mixed,effective ,addictive; death,
11768170,"Vice President Al Gore. Plenary address at Addicted To Nicotine: A National Research Forum July 27-28, 1998, Bethesda, MD.",1999,Independent,Not coded,Not applicable,,,
10798145,Smoking and children.,1999,Independent,Not coded,Negative,,increased prevalence; oral disease; cardiovascular disease,
10780498,Implications for tobacco regulation and public health. Commentary on Stolerman's Inter-species consistency in the behavioural pharmacology of nicotine dependence.,1999,Independent,Not coded,Not applicable,,,
10724726,Population-based tobacco control: progress and prospects.,1999,Independent,Positive,Positive,quit ; effective ,,
10724557,"Combating the 'safe' cigarette: ethical, public health issues and regulatory proposals.",1999,Independent,Not coded,Negative,,dangerous,
10558427,Taking behavioralism seriously: some evidence of market manipulation.,1999,Independent,Not coded,Not applicable,,,
10507577,Policy options to reduce tobacco-caused mortality.,1999,Independent,Not coded,Not applicable,,,
10493439,"Trends in cigarette smoking in fourth-form students in New Zealand, 1992-1997.",1999,Independent,Not coded,Negative,,increase in smoking,
10478414,The future of tobacco product regulation and labelling in Europe: implications for the forthcoming European Union directive.,1999,Independent,Not coded,Mixed,cessation; alternative to smoking,negative health,
10478407,Blowing smoke: how cigarette manufacturers argued that nicotine is not addictive.,1999,Independent,Not coded,Not applicable,,,
10465829,Eliminating nicotine in cigarettes.,1999,Independent,Not coded,Not applicable,,,
10465821,Consumption and production waste: another externality of tobacco use.,1999,Independent,Not coded,Not applicable,,,
10353430,"Little evidence that ""denicotinized"" menthol cigarettes have pharmacological effects: an EEG/heart-rate/sujective-response study.",1999,Independent,Not coded,Not applicable,,,
10205089,Tobacco memos reveal efforts to disrupt smoking cessation.,1999,Independent,Not coded,Not applicable,,,
10087587,"[Tobacco: ashes, smoke and carbon].",1999,Independent,Not coded,Not applicable,,,
11203247,"Variation within global cigarette brands in tar, nicotine, and certain nitrosamines: analytic study.",2000,Independent,Not coded,Not applicable,,,
11197319,Reducing tobacco use: a report of the Surgeon General--executive summary.,2000,Independent,Not coded,Not applicable,,,
11092711,Overview of legislation and tobacco control in Singapore.,2000,Independent,Not coded,Positive,improve,,
11082821,Distinguishing withdrawal relief from absolute facilitation: commentary on Bell et al.,2000,Independent,Not coded,Mixed,improved,withdrawal,
11072439,Preliminary evaluation of a novel smoking system: effects on subjective and physiological measures and on smoking behavior.,2000,Independent,Not coded,Negative,,suppression; withdrawal; craving,
11038023,The regulation of tobacco and tobacco smoke.,2000,Independent,Not coded,Not applicable,,,
10927783,Health risks associated with cigar smoking.,2000,Independent,Negative,Negative,,toxic; carcinogenic; addiction; death; nicotine addiction,
10927777,US college students' use of tobacco products: results of a national survey.,2000,Independent,Not coded,Not applicable,,,
10902645,"Official cigarette tar tests are misleading: use a two-stage, compensating test.",2000,Independent,Not coded,Not applicable,,,
10880149,Acute effects of smoking of cigarettes with different tar content on plasma oxidant/antioxidant status.,2000,Independent,Not coded,Not applicable,,,
10866874,"A clinical practice guideline for treating tobacco use and dependence: A US Public Health Service report. The Tobacco Use and Dependence Clinical Practice Guideline Panel, Staff, and Consortium Representatives.",2000,Independent,Mixed,Mixed,cessation; abstinence; benefit; effective ,dependence,
10841865,Compete with the tobacco industry.,2000,Independent,Not coded,Not applicable,,,
10841864,Recreational nicotine: uncertain benefits and several major risks [commment].,2000,Independent,Not coded,Not applicable,,,
10723819,Regulatory imbalance between medicinal and non-medicinal nicotine.,2000,Independent,Not coded,Mixed,risk reduction; benefit,harmful; death; hazardous,
10695255,Yields and daily consumption of cigarettes in Japan in 1969-1996.,2000,Independent,Not coded,Positive,benefits,,
10647256,A seizure in the tobacco field. Green tobacco sickness.,2000,Independent,Not coded,Not applicable,,,
10639500,It's time for a change: cigarette smokers deserve meaningful information about their cigarettes.,2000,Independent,Not coded,Not applicable,,,
10637214,Attorneys argue FDA regulation of tobacco before Supreme Court.,2000,Independent,Not coded,Not applicable,,,
12415145,Implications of the tobacco industry documents for public health and policy.,2003,Independent,Negative,Not applicable,,,
12206073,Clinical governance for nurses: smoking cessation interventions.,2001,Independent,Positive,Positive,cessation,,
12037262,Smoke yields of tobacco-specific nitrosamines in relation to FTC tar level and cigarette manufacturer: analysis of the Massachusetts Benchmark Study.,2001,Independent,Negative,Negative,,toxic,
11980287,Smoking cessation as a therapeutic and preventive intervention: a meeting report.,2001,Independent,Positive,Positive,cessation; effective ,,
11766494,Supplement on smoking cessation.,2001,Independent,Not coded,Not applicable,,,
11740045,Concluding remarks.,2001,Independent,Not coded,Not applicable,,,
11740039,"Beliefs about ""Light"" and ""Ultra Light"" cigarettes and efforts to change those beliefs: an overview of early efforts and published research.",2001,Independent,Not coded,Not applicable,,,
11712903,A consideration of the role of gas/particle partitioning in the deposition of nicotine and other tobacco smoke compounds in the respiratory tract.,2001,Independent,Not coded,Not applicable,,,
11680556,Behavioral treatment for smokers with a history of alcoholism: predictors of successful outcome.,2001,Independent,Positive,Positive,abstinence,,
11586512,Toward a tobacco-free society in Japan.,2001,Independent,Not coded,Not applicable,,,
11583703,Particulate and vapor phase constituents of cigarette mainstream smoke and risk of myocardial infarction.,2001,Independent,Not coded,Not applicable,,,
11544390,"Swedish Match Company, Swedish snus and public health: a harm reduction experiment in progress?",2001,Independent,Not coded,Not applicable,,,
11544377,"Origins of ""denicotinised"" tobacco.",2001,Independent,Not coded,Not applicable,,,
11523591,A comparative study by electron paramagnetic resonance of free radical species in the mainstream and sidestream smoke of cigarettes with conventional acetate filters and 'bio-filters'.,2001,Independent,Not coded,Positive,effective ,,
11522157,Smoking in Colombian medical schools: the hidden curriculum.,2001,Independent,Not coded,Not applicable,,,
11473911,"""They're doing people a service""-qualitative study of smoking, smuggling, and social deprivation.",2001,Independent,Not coded,Positive,stop smoking,,
11465867,Anti-Smoking therapies: is harm reduction a viable alternative to smoking cessation?,2001,Independent,Positive,Positive,cessation; quit smoking,,
11451101,Framing the nicotine debate: a cultural approach to risk.,2001,Independent,Not coded,Not applicable,,,
11423342,"The effect of tobacco smoke, nicotine, and cotinine on the mutagenicity of 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (NNAL).",2001,Independent,Not coded,Negative,,mutagenicity,
11407216,Towards a tobacco-free world.,2001,Independent,Not coded,Negative,,mortality; epidemic,
11403724,"Withdrawal-suppressing effects of a novel smoking system: comparison with own brand, not own brand, and de-nicotinized cigarettes.",2001,Independent,Not coded,Not applicable,,,
11403722,What's new in Nicotine & Tobacco Research?,2001,Independent,Not coded,Not applicable,,,
11387540,Variations in treatment benefits influence smoking cessation: results of a randomised controlled trial.,2001,Independent,Mixed,Mixed,quit ; benefit; effective ,dependence,
11387528,"Whose standard is it, anyway? How the tobacco industry determines the International Organization for Standardization (ISO) standards for tobacco and tobacco products.",2001,Independent,Not coded,Not applicable,,,
11337423,Why Britain needs a nicotine regulation authority. To bring consistency and regulation to tobacco and alternative nicotine products.,2001,Independent,Not coded,Not applicable,,,
11334247,The responsibility of the tobacco industry for the tobacco pandemic.,2001,Independent,Not coded,Not applicable,,,
11334246,They have given us the ammunition--we should use it.,2001,Independent,Not coded,Not applicable,,,
11326709,Smokeless tobacco and oral cancer.,2001,Independent,Not coded,Not applicable,,,
11313117,Effect of pyrolysis temperature on the mutagenicity of tobacco smoke condensate.,2001,Independent,Negative,Negative,,carcinogenicity; cancer; mutagenicity,
11242004,Benefits of low-tar smokes just a pipe dream.,2001,Independent,Not coded,Not applicable,,,
11223347,Active and passive tobacco exposure.,2001,Independent,Negative,Negative,,harmful; addiction; addictive; nicotine addiction,
12825431,Could science-based regulation make tobacco products less addictive?,2002,Independent,Not coded,Not applicable,,,
12580158,Tobacco harm reduction: promise and perils.,2002,Independent,Positive,Mixed,quitting; harm reduction; less hazardous,hazardous,
12573176,Does tobacco industry marketing of 'light' cigarettes give smokers a rationale for postponing quitting?,2002,Independent,Positive,Positive,quitting,,
12438011,Relationship between FTC 'tar' and urine mutagenicity in smokers of tobacco-burning or Eclipse cigarettes.,2002,Independent,Negative,Negative,,mutagenicity,
12359039,"Lazabemide, a selective, reversible monoamine oxidase B inhibitor, as an aid to smoking cessation.",2002,Independent,Positive,Positive,cessation; promising,,
12358157,A review of the pharmacological and psychopharmacological aspects of smoking and smoking cessation in psychiatric patients.,2002,Independent,Positive,Mixed,cessation; quit,negative effect; withdrawal,
12215245,Progress in nicotine and tobacco research.,2002,Independent,Not coded,Not applicable,,,
12215133,Impact of over-the-counter sales on effectiveness of pharmaceutical aids for smoking cessation.,2002,Independent,Positive,Positive,cessation; effective ; successful,,
12188987,"Nicotine addiction, young adults, and smoke-free bars.",2002,Independent,Not coded,Not applicable,,,
12171802,Hospitals vs merchants of nicotine.,2002,Independent,Not coded,Not applicable,,,
12169078,Financial ties and conflicts of interest between pharmaceutical and tobacco companies.,2002,Independent,Positive,Positive,cessation,,
12147434,Strategic marketing in the UK tobacco industry.,2002,Independent,Not coded,Not applicable,,,
12064708,Public knowledge and attitudes regarding smoking and smoking cessation treatments.,2002,Independent,Positive,Positive,cessation; efficacious,,
12055731,[Impact of mass communication media on an anti-smoking campaign].,2002,Independent,Positive,Positive,cessation; quitting,,
11945215,Pilot study of enhanced tobacco-cessation services coverage for low-income smokers.,2002,Independent,Positive,Positive,cessation; benefit,,
11895259,Another mirror shattered? Tobacco industry involvement suspected in a book which claims that nicotine is not addictive.,2002,Independent,Not coded,Not applicable,,,
11894603,[Nicotine dependence--medico-biological aspects].,2002,Independent,Negative,Negative,,addiction; addictive; nicotine addiction; withdrawal,
11893814,"Cigarette filter ventilation is a defective design because of misleading taste, bigger puffs, and blocked vents.",2002,Independent,Not coded,Mixed,less dangerous,dangerous; hazardous,
11893812,How cigarette design can affect youth initiation into smoking: Camel cigarettes 1983-93.,2002,Independent,Not coded,Negative,,youth smoking; initiation,
11893811,"The dark side of marketing seemingly ""Light"" cigarettes: successful images and failed fact.",2002,Independent,Positive,Positive,quitting,,
14702860,Preventing cancer by controlling youth tobacco use.,2003,Independent,Negative,Negative,,dependence; nicotine dependence,
14668072,"Surveillance of smokeless tobacco nicotine, pH, moisture, and unprotonated nicotine content.",2003,Independent,Not coded,Positive,alternative to cigarettes,,
14660767,European Union policy on smokeless tobacco: a statement in favour of evidence based regulation for public health.,2003,Independent,Positive,Mixed,cessation; harm reduction; less harmful,harmful; toxicity,
14660766,Effect of smokeless tobacco (snus) on smoking and public health in Sweden.,2003,Independent,Mixed,Mixed,less harmful,harmful; dependence; nicotine dependence,
14643135,Argument for partial nicotine deregulation.,2003,Independent,Not coded,Not applicable,,,
14645950,The Australian tar derby: the origins and fate of a low tar harm reduction programme.,2003,Independent,Not coded,Not applicable,,,
14645947,"""A deep fragrance of academia"": the Australian Tobacco Research Foundation.",2003,Independent,Not coded,Neutral,,,insufficient evidence
14599422,[Economic evaluation of pharmacotherapies for smoking cessation].,2003,Independent,Positive,Positive,cessation; efficacy,,
14561353,Nasal snuff: historical review and health related aspects.,2003,Independent,Not coded,Negative,,higher incidence; carcinogenic,
13678968,The future of the nicotine-addiction market.,2003,Independent,Not coded,Not applicable,,,
12924929,Percent free base nicotine in the tobacco smoke particulate matter of selected commercial and reference cigarettes.,2003,Independent,Not coded,Not applicable,,,
12791522,"Biomarkers of tobacco exposure or harm: application to clinical and epidemiological studies. 25-26 October 2001, Minneapolis, Minnesota.",2003,Independent,Not coded,Not applicable,,,
12691267,Tobacco control for clinicians who treat adolescents.,2003,Independent,Not coded,Mixed,quitting,dependence; nicotine dependence,
19330121,An analysis of the role of tobacco-specific nitrosamines in the carcinogenicity of tobacco smoke.,2003,Independent,Not coded,Negative,,carcinogenic; mutagenic,
12635005,"Evaluation of relationships between mainstream smoke acetaldehyde and ""tar"" and carbon monoxide yields in tobacco smoke and reducing sugars in tobacco blends of U.S. commercial cigarettes.",2003,Independent,Not coded,Not applicable,,,
12598337,More on the regulation of tobacco smoke: how we got here and where next.,2003,Independent,Not coded,Negative,,carcinogenic,
12583666,The Canadian slave smoking machine.,2003,Independent,Not coded,Not applicable,,,
12581561,A global approach to tobacco policy.,2003,Independent,Not coded,Mixed,benefits,carcinogens; secondhand smoke,
12531820,Levelling the playing field for regulation of nicotine.,2003,Independent,Not coded,Not applicable,,,
15852558,What's new in Nicotine and Tobacco Research?,2004,Independent,Not coded,Not applicable,,,
15801568,Assessing internal tobacco industry knowledge of the neurobiology of tobacco dependence.,2004,Independent,Positive,Positive,cessation; benefit,,
15799598,Smokers' responses to advertisements for regular and light cigarettes and potential reduced-exposure tobacco products.,2004,Independent,Not coded,Positive,reduced exposure; effective ,,
15799596,Are smokers adequately informed about the health risks of smoking and medicinal nicotine?,2004,Independent,Not coded,Positive,benefits,,
15765019,Youth and tobacco.,2004,Independent,Not coded,Positive,cessation,,
15569971,"Prevalence of smoking in 8 countries of the former Soviet Union: results from the living conditions, lifestyles and health study.",2004,Independent,Not coded,Not applicable,,,
15564633,Food and Drug Administration regulation of tobacco: snatching defeat from the jaws of victory.,2004,Independent,Not coded,Not applicable,,,
15564619,A nicotine delivery device without the nicotine? Tobacco industry development of low nicotine cigarettes.,2004,Independent,Not coded,Positive,harm reduction; reduced exposure,,
15564224,"The Philippine tobacco industry: ""the strongest tobacco lobby in Asia"".",2004,Independent,Not coded,Mixed,effectiveness,exploitation,
15564222,"A ""clean cigarette"" for a clean nation: a case study of Salem Pianissimo in Japan.",2004,Independent,Not coded,Mixed,successfully,exploit,
15559736,"Preliminary investigation of the advertising and availability of PREPs, the new ""safe"" tobacco products.",2004,Independent,Not coded,Not applicable,,,
15527147,Current challenges in tobacco control.,2004,Independent,Negative,Negative,,addiction,
15513814,Does increased cigarette consumption nullify any reduction in lung cancer risk associated with low-tar filter cigarettes?,2004,Independent,Negative,Negative,,cancer; lung cancer,
15466070,"Adolescents' beliefs about the risks involved in smoking ""light"" cigarettes.",2004,Independent,Mixed,Mixed,cessation,addiction; addictive,
15220753,Reducing risk in smokers.,2004,Independent,Positive,Neutral,quit; quitting; effective ; efficacy,,more research is needed
15203793,Ammonia and other chemical base tobacco additives and cigarette nicotine delivery: issues and research needs.,2004,Independent,Not coded,Not applicable,,,
15193900,Role of mentholated cigarettes in increased nicotine dependence and greater risk of tobacco-attributable disease.,2004,Independent,Not coded,Not applicable,,,
15175528,Reducing tobacco addiction through tobacco product regulation.,2004,Independent,Negative,Negative,,toxicity; addiction,
15175526,Tobacco harm reduction: what do the experts think?,2004,Independent,Not coded,Positive,"harm reduction; improve; benefits; effective ; tobacco control advocates distrust of tobacco industry scientists and vice versa-was pervasive, and cited frequently as a barrier to regulation and collaboration. conclusions: continued dialogue and debate are essential as we enter a new and uncertain era of products purporting to reduce tobacco produced harm. experts have concluded that effective",,
15175521,Community tobacco control leaders' perceptions of harm reduction.,2004,Independent,Positive,Mixed,harm reduction; benefits,dependence; nicotine dependence,
15172783,Learning from Philip Morris: Japan Tobacco's strategies regarding evidence of tobacco health harms as revealed in internal documents from the American tobacco industry.,2004,Independent,Not coded,Positive,effective ,,
15107904,Time for major roadworks on the tobacco road?,2004,Independent,Not coded,Not applicable,,,
15072836,The effect of tobacco ingredients on smoke chemistry. Part I: Flavourings and additives.,2004,Tobacco Company,Not coded,Not applicable,,,
15061445,Potential reduction exposure products and FDA tobacco and regulation: a CNS call to action.,2004,Independent,Positive,Positive,cessation; harm reduction; alternative to cigarettes,,
14985615,Airport smoking rooms don't work.,2004,Independent,Not coded,Not applicable,,,
14985613,A tobacco industry study of airline cabin air quality: dropping inconvenient findings.,2004,Independent,Not coded,Negative,,secondhand smoke,
14985612,Flying the smoky skies: secondhand smoke exposure of flight attendants.,2004,Independent,Negative,Negative,,harmful,
14982708,"Application, function, and effects of menthol in cigarettes: a survey of tobacco industry documents.",2004,Independent,Positive,Positive,cessation,,
